public_essay_id,split,language,rater_score,rater_cefr_level,rater_pass_fail,automarker_score,automarker_confidence,automarker_cefr_level,automarker_pass_fail
essay_7f1de02be40c472b,test,Turkish,7,B2,pass,6.45,0.952589,B1,pass
essay_573179e8a7f64ae3,test,Portuguese,8,B2,pass,10.0,0.794757,C1,pass
essay_b74f6d10ce1341bd,test,Hindi,8,B2,pass,7.531,0.901095,B2,pass
essay_30d15fdc40cc4bb1,test,Italian,9,C1,pass,8.076,0.974629,B2,pass
essay_a2d3418f77244aa4,test,Dutch,3,A2,fail,3.142,0.732439,A2,fail
essay_3107a72bb12f4fb1,test,Turkish,2,A2,fail,2.832,0.5806,A2,fail
essay_4abbaafe55674e91,test,French,7,B2,pass,8.13,0.949399,B2,pass
essay_c0bf97ae165d488a,test,French,6,B1,pass,5.591,0.96153,B1,pass
essay_587fb58a71be442d,test,German,2,A2,fail,2.698,0.664698,A2,fail
essay_ac8f16ec872f4df9,test,Greek,8,B2,pass,6.163,0.739271,B1,pass
essay_db3ccbe060e74ac7,test,Romanian,9,C1,pass,9.344,0.5,C1,pass
essay_60708b651a984381,test,Dutch,1,A2,fail,1.888,0.822996,A2,fail
essay_dda2ff55b39b4b1e,test,Romanian,9,C1,pass,7.492,0.957283,B2,pass
essay_9a2c91d814ba4fe5,test,Greek,8,B2,pass,6.804,0.766124,B2,pass
essay_c9695793d4ec49ed,test,English,7,B2,pass,7.736,0.915069,B2,pass
essay_96d5a2810c6a4f25,test,Romanian,1,A2,fail,1.092,0.695967,A2,fail
essay_0efc021343b44fa0,test,English,4,B1,fail,2.505,0.717588,A2,fail
essay_daa316a3fd784999,test,German,9,C1,pass,8.895,0.531835,C1,pass
essay_d5546a8b07c44fe0,test,Polish,7,B2,pass,6.79,0.662256,B2,pass
essay_d772324f04b5441d,test,Turkish,9,C1,pass,9.296,0.998694,C1,pass
essay_de5480ed13144646,test,Polish,3,A2,fail,3.346,0.85888,A2,fail
essay_914d4d259f004d91,test,Italian,8,B2,pass,7.057,0.99067,B2,pass
essay_5882cc6ff88d4760,test,Romanian,1,A2,fail,1.0,0.777896,A2,fail
essay_f1606c6769514d2d,test,Dutch,2,A2,fail,1.0,0.943133,A2,fail
essay_ae8e18cf31034a3b,test,English,1,A2,fail,1.169,0.5,A2,fail
essay_39e5cc040d88499f,test,English,1,A2,fail,1.028,0.766085,A2,fail
essay_33224a5e1f33466a,test,Polish,3,A2,fail,3.858,0.562869,B1,fail
essay_08cbee2121c3415d,test,Spanish,8,B2,pass,8.621,0.89482,C1,pass
essay_563ee358edcb4b6c,test,Dutch,3,A2,fail,2.678,0.833303,A2,fail
essay_de3b9d05512b45fd,test,Romanian,1,A2,fail,1.0,0.74231,A2,fail
essay_1b25ad8fbc244157,test,Turkish,3,A2,fail,3.782,0.791571,B1,fail
essay_95c6a0dfead44a65,test,Turkish,1,A2,fail,1.0,0.784048,A2,fail
essay_be75403ced90403a,test,Dutch,9,C1,pass,9.847,0.946784,C1,pass
essay_6ecf255530fe4220,test,Dutch,9,C1,pass,7.67,0.659959,B2,pass
essay_5808b261c0b44312,test,Portuguese,3,A2,fail,3.958,0.525383,B1,fail
essay_3f95aa60b9334a1b,test,Polish,3,A2,fail,3.277,0.5,A2,fail
essay_deba528d960d4693,test,Hindi,5,B1,pass,5.094,0.966866,B1,pass
essay_2eadd22e415d4226,test,Greek,1,A2,fail,1.0,0.765781,A2,fail
essay_17d95c05b3134c6f,test,Portuguese,1,A2,fail,1.507,0.95558,A2,fail
essay_b4401d8affa1486c,test,Romanian,3,A2,fail,2.403,0.949764,A2,fail
essay_f753925f0ef74b85,test,Hindi,8,B2,pass,6.852,0.957327,B2,pass
essay_542469a704614086,test,Italian,9,C1,pass,7.817,0.5,B2,pass
essay_cf84f004ec8c4eca,test,Italian,3,A2,fail,3.657,0.768445,B1,fail
essay_50f5dda0b3c24e68,test,Romanian,2,A2,fail,1.872,0.915436,A2,fail
essay_9f3ee48905ca463e,test,Italian,6,B1,pass,5.585,0.86937,B1,pass
essay_ba72593522434d7c,test,Spanish,1,A2,fail,2.089,0.617737,A2,fail
essay_102ee221eaab42fc,test,Dutch,6,B1,pass,6.046,0.503703,B1,pass
essay_9abcd7a33c8b4e93,test,Italian,3,A2,fail,3.829,0.589651,B1,fail
essay_3c2f9faaeafc4229,test,Hindi,5,B1,pass,6.781,0.762048,B2,pass
essay_dc6f3527fd6c42eb,test,Turkish,6,B1,pass,6.832,0.691068,B2,pass
essay_d4fe5f72d8134add,test,Spanish,7,B2,pass,6.212,0.889628,B1,pass
essay_158fc1118bf548fc,test,Portuguese,6,B1,pass,5.407,0.719496,B1,pass
essay_9b8ddfde1c324c38,test,Turkish,5,B1,pass,3.705,0.528295,B1,fail
essay_e5135822c3264668,test,Greek,2,A2,fail,1.0,0.680938,A2,fail
essay_d0fd4aba81e947d5,test,Romanian,8,B2,pass,8.344,0.761903,B2,pass
essay_5e8d76e5e47e4ea7,test,French,3,A2,fail,4.809,0.664702,B1,fail
essay_db4125b7abf54461,test,Turkish,2,A2,fail,2.11,0.924372,A2,fail
essay_4c6853096e694d2e,test,Dutch,2,A2,fail,3.57,0.974326,B1,fail
essay_3676cbc14c044a89,test,Polish,8,B2,pass,8.813,0.767232,C1,pass
essay_fd0579d4aa264993,test,Romanian,1,A2,fail,1.0,0.679629,A2,fail
essay_24d924635ace4d8e,test,English,7,B2,pass,8.553,0.539922,C1,pass
essay_4e716d8cae374c67,test,Greek,3,A2,fail,3.021,0.83966,A2,fail
essay_4222fc52bdf845cb,test,Greek,5,B1,pass,5.202,0.789806,B1,pass
essay_572e46e3dcd6464a,test,Italian,7,B2,pass,7.249,0.691166,B2,pass
essay_cd7e331875d74d77,test,Turkish,6,B1,pass,6.496,0.881634,B1,pass
essay_ab01bfe3c1bf44ee,test,German,2,A2,fail,3.154,0.870878,A2,fail
essay_aeee3ee54bcf4a17,test,Spanish,6,B1,pass,5.787,0.546694,B1,pass
essay_094eeecb92aa4a61,test,Turkish,2,A2,fail,1.318,0.74632,A2,fail
essay_bbe8d17b124d4526,test,Portuguese,9,C1,pass,8.173,0.82266,B2,pass
essay_ca787ce1bb7240cd,test,Turkish,6,B1,pass,4.103,0.722604,B1,fail
essay_9143a453ee8f458f,test,English,9,C1,pass,7.934,0.891472,B2,pass
essay_e537ca0635494e1d,test,Romanian,3,A2,fail,2.889,0.937445,A2,fail
essay_41109356f58f410b,test,Italian,2,A2,fail,1.401,0.930182,A2,fail
essay_34ce4596708343e3,test,French,1,A2,fail,1.0,0.769002,A2,fail
essay_57956b2b43cc493f,test,Greek,6,B1,pass,5.596,0.5,B1,pass
essay_f8900f4eac434dc8,test,Polish,5,B1,pass,4.926,0.551163,B1,fail
essay_e5d74dd783b74076,test,Romanian,1,A2,fail,1.0,0.717523,A2,fail
essay_f40e0e1876bb42b9,test,Greek,5,B1,pass,5.047,0.505862,B1,pass
essay_ced21b9091f048f9,test,French,1,A2,fail,1.12,0.682677,A2,fail
essay_ea0edeedc68a4133,test,Italian,8,B2,pass,9.541,0.859171,C1,pass
essay_64263f4151a444bd,test,German,2,A2,fail,2.17,0.892588,A2,fail
essay_062567a00e234ef4,test,Italian,7,B2,pass,7.972,0.64888,B2,pass
essay_31b914a5d697488d,test,Hindi,6,B1,pass,6.203,0.674788,B1,pass
essay_9e568bf0a8c748ac,test,Greek,2,A2,fail,4.052,0.991862,B1,fail
essay_45cf29d2a4c44f28,test,Romanian,7,B2,pass,8.906,0.630996,C1,pass
essay_530c73358d55429e,test,Polish,4,B1,fail,3.856,0.830537,B1,fail
essay_ea49dfd33ce94e38,test,German,3,A2,fail,1.0,0.729743,A2,fail
essay_5e9b47bea2a44729,test,Romanian,4,B1,fail,3.187,0.880345,A2,fail
essay_b912fe3b8d514618,test,Turkish,2,A2,fail,1.0,0.957675,A2,fail
essay_8ff818945ef04349,test,Polish,6,B1,pass,4.698,0.923511,B1,fail
essay_4fe318e3e9bc445d,test,Dutch,9,C1,pass,8.958,0.914034,C1,pass
essay_99b980e399b34045,test,Portuguese,1,A2,fail,1.042,0.916377,A2,fail
essay_9b06b36e813b4a85,test,Greek,8,B2,pass,10.0,0.50181,C1,pass
essay_d92963b2c18344a2,test,Dutch,8,B2,pass,7.751,0.916652,B2,pass
essay_361dc9dea21c4985,test,Spanish,2,A2,fail,3.524,0.680059,B1,fail
essay_826d2c762a324674,test,English,9,C1,pass,7.578,0.592511,B2,pass
essay_7ca43a62426d472e,test,German,3,A2,fail,2.702,0.870257,A2,fail
essay_73a2a26f58714877,test,Turkish,3,A2,fail,4.647,0.867314,B1,fail
essay_060043e40f3b439a,test,Hindi,8,B2,pass,5.921,0.8283,B1,pass
essay_3f8bb332467b4f8e,test,Dutch,8,B2,pass,5.722,0.793544,B1,pass
essay_9e46a77b6ce74a82,test,Polish,6,B1,pass,5.915,0.729277,B1,pass
essay_b3ac3e709a7c4728,test,Turkish,2,A2,fail,4.043,0.93945,B1,fail
essay_3c2fc070a12c44bb,test,Spanish,3,A2,fail,3.571,0.926757,B1,fail
essay_1a67048b0fb04f82,test,Hindi,6,B1,pass,4.861,0.898579,B1,fail
essay_b626b07224b846a4,test,Turkish,5,B1,pass,5.047,0.917395,B1,pass
essay_7f367861b7f345c6,test,Portuguese,1,A2,fail,1.0,0.745476,A2,fail
essay_2e63789627f84285,test,Spanish,2,A2,fail,2.16,0.897725,A2,fail
essay_f5df9f67b50144ff,test,German,3,A2,fail,3.184,0.741167,A2,fail
essay_9a3b4e79a6b24ab6,test,Hindi,3,A2,fail,3.497,0.878794,A2,fail
essay_320b30a271bb4837,test,Polish,4,B1,fail,4.82,0.5,B1,fail
essay_3d1588de5b9344e7,test,Greek,6,B1,pass,5.602,0.5,B1,pass
essay_68869851d23a4e42,test,Italian,7,B2,pass,6.253,0.99387,B1,pass
essay_214d55efa1de44b2,test,Turkish,3,A2,fail,4.432,0.793626,B1,fail
essay_096c0d6765b343d0,test,German,4,B1,fail,4.48,0.717721,B1,fail
essay_44a1fd18bef74937,test,Spanish,4,B1,fail,5.51,0.675578,B1,pass
essay_b15248d7f8df4bdc,test,Polish,4,B1,fail,3.49,0.96451,A2,fail
essay_29fb73e996184f80,test,Dutch,4,B1,fail,4.964,0.809369,B1,fail
essay_44cc09c885f24e6b,test,Italian,5,B1,pass,6.877,0.816303,B2,pass
essay_a94d673ff95240c7,test,Spanish,8,B2,pass,10.0,0.532649,C1,pass
essay_8ed954272dd249d3,test,German,8,B2,pass,8.59,0.791202,C1,pass
essay_daf19b2ecaca4b59,test,Polish,3,A2,fail,3.184,0.925912,A2,fail
essay_ed354055b7d341d2,test,Turkish,4,B1,fail,3.874,0.631622,B1,fail
essay_d884b09ff813462a,test,Greek,9,C1,pass,8.203,0.935433,B2,pass
essay_34066855ded7412b,test,French,6,B1,pass,6.246,0.90476,B1,pass
essay_30c1d630aea54574,test,Turkish,3,A2,fail,3.472,0.790902,A2,fail
essay_58cbb9848c254e26,test,English,2,A2,fail,2.906,0.605934,A2,fail
essay_1779cfd9294d4d5e,test,French,6,B1,pass,6.11,0.955095,B1,pass
essay_72b34856620043be,test,German,3,A2,fail,1.882,0.833874,A2,fail
essay_f46e27053eea421b,test,Romanian,8,B2,pass,6.349,0.503943,B1,pass
essay_4eb9984b68e0404d,test,Hindi,6,B1,pass,7.95,0.731776,B2,pass
essay_2e35a1e8c4f34d30,test,German,3,A2,fail,1.592,0.795435,A2,fail
essay_5c736ebea36e4024,test,Romanian,2,A2,fail,1.93,0.60849,A2,fail
essay_d3f2ce26fd3f4653,test,Turkish,7,B2,pass,7.099,0.939671,B2,pass
essay_9c0be9f24323407b,test,Spanish,8,B2,pass,8.713,0.788035,C1,pass
essay_99287a8754944ebe,test,Hindi,5,B1,pass,4.724,0.655954,B1,fail
essay_07df04e4f12444fc,test,German,5,B1,pass,4.284,0.5,B1,fail
essay_f2485187dde44226,test,Turkish,4,B1,fail,5.005,0.551454,B1,pass
essay_5eb470af3d2c4054,test,German,5,B1,pass,4.33,0.828257,B1,fail
essay_4df9d5d27fc54a17,test,English,8,B2,pass,7.98,0.5,B2,pass
essay_aab1ccd159d544c5,test,Turkish,2,A2,fail,1.0,0.516764,A2,fail
essay_ed5b0dbbd41d4110,test,Greek,4,B1,fail,5.103,0.697245,B1,pass
essay_623ca4cfc6894768,test,Dutch,2,A2,fail,2.127,0.831323,A2,fail
essay_b82af4b30d214184,test,Greek,6,B1,pass,6.256,0.948924,B1,pass
essay_2da4ee024f2c4963,test,English,5,B1,pass,5.51,0.995936,B1,pass
essay_bc2fab97005e4f90,test,Greek,1,A2,fail,1.187,0.948873,A2,fail
essay_c37418c223f04ab5,test,Spanish,1,A2,fail,1.0,0.639248,A2,fail
essay_6629007a328a4cfe,test,English,8,B2,pass,8.095,0.886432,B2,pass
essay_c3967e0d2d634cc6,test,Polish,2,A2,fail,2.122,0.5,A2,fail
essay_8070aa7ce97645d0,test,Italian,1,A2,fail,2.975,0.683884,A2,fail
essay_d4fca4993ac04636,test,Hindi,3,A2,fail,2.438,0.974655,A2,fail
essay_4a7775f7fd704810,test,Hindi,1,A2,fail,1.0,0.720484,A2,fail
essay_263ea0e792e14dbe,test,Portuguese,7,B2,pass,7.611,0.666952,B2,pass
essay_3a0f302f3cca440c,test,Dutch,9,C1,pass,9.43,0.691104,C1,pass
essay_9a1278a5158a4462,test,Turkish,5,B1,pass,5.134,0.612766,B1,pass
essay_0d0bf0a07b5e4b89,test,Dutch,2,A2,fail,3.357,0.77872,A2,fail
essay_3aefcd82e991474c,test,Italian,2,A2,fail,3.414,0.647176,A2,fail
essay_5f02b29b05ef4b53,test,German,7,B2,pass,7.413,0.5,B2,pass
essay_a2100eb07eba4efc,test,French,2,A2,fail,1.0,0.839751,A2,fail
essay_83712f792d1f4d53,test,Greek,4,B1,fail,3.976,0.860748,B1,fail
essay_3c6b27c40a904b70,test,Turkish,7,B2,pass,5.479,0.875106,B1,pass
essay_02c20e7984b94c79,test,French,8,B2,pass,6.994,0.708436,B2,pass
essay_336cfff2d2fe40ab,test,German,8,B2,pass,8.234,0.600282,B2,pass
essay_4fa31029f6ff4018,test,Italian,8,B2,pass,10.0,0.713366,C1,pass
essay_7a73ecd9949f4c45,test,Polish,2,A2,fail,2.492,0.783341,A2,fail
essay_1ea7f45da3a04c0f,test,German,5,B1,pass,6.421,0.691546,B1,pass
essay_97695dea668b494b,test,Greek,8,B2,pass,7.623,0.742409,B2,pass
essay_9ecfa582aa454a8f,test,Turkish,3,A2,fail,3.543,0.882735,B1,fail
essay_7132f1c20e7342e1,test,Romanian,8,B2,pass,7.202,0.765339,B2,pass
essay_ce7df356bade425e,test,French,5,B1,pass,5.043,0.614238,B1,pass
essay_d2cd10e522ca424c,test,Romanian,1,A2,fail,1.82,0.772953,A2,fail
essay_69e32d7a44644b0f,test,English,9,C1,pass,7.831,0.677118,B2,pass
essay_3e8f4632e4fd4d38,test,Hindi,5,B1,pass,4.37,0.891091,B1,fail
essay_9a9c0907c70f4523,test,English,4,B1,fail,5.567,0.729218,B1,pass
essay_9e1f7d9f50b3407d,test,Turkish,2,A2,fail,1.0,0.534193,A2,fail
essay_eb599fcf18984093,test,Hindi,7,B2,pass,7.538,0.709428,B2,pass
essay_2eb743eee17a493b,test,Turkish,4,B1,fail,4.187,0.905489,B1,fail
essay_97313e38a0fa47dc,test,Italian,6,B1,pass,5.766,0.664793,B1,pass
essay_1e1ab5910b5943da,test,Portuguese,7,B2,pass,6.26,0.911098,B1,pass
essay_829ffbdce4c4402d,test,Polish,2,A2,fail,1.0,0.5,A2,fail
essay_cf22ac7e6c90420d,test,Romanian,2,A2,fail,2.987,0.603679,A2,fail
essay_ed95281ca2c1462b,test,Italian,8,B2,pass,8.65,0.940925,C1,pass
essay_e452b1a27dbf42fc,test,Dutch,3,A2,fail,4.66,0.897047,B1,fail
essay_ef535bbf6d0445ca,test,Spanish,3,A2,fail,3.074,0.794981,A2,fail
essay_c3a0ffe424b94b8c,test,English,9,C1,pass,10.0,0.75865,C1,pass
essay_435309ea8dcb4e93,test,Spanish,4,B1,fail,4.514,0.805102,B1,fail
essay_0cb655cb6f334779,test,Dutch,7,B2,pass,5.659,0.913231,B1,pass
essay_59b277a5355145ce,test,Portuguese,9,C1,pass,9.445,0.5,C1,pass
essay_2aae2cda94ab4903,test,Portuguese,5,B1,pass,4.827,0.95532,B1,fail
essay_4db2c416057b42f4,test,Turkish,1,A2,fail,1.76,0.749631,A2,fail
